BEDS,school,clean_school,charter,print_diff
141601060001,ARMOR ELEMENTARY SCHOOL,Armor Elementary,,
141601060002,BOSTON VALLEY ELEMENTARY SCHOOL,Boston Valley Elem.,,
141601060003,CHARLOTTE AVENUE ELEMENTARY SCHOOL,Charlotte Ave. Elem.,,
141601060006,HAMBURG MIDDLE SCHOOL,Hamburg Middle,,
141601060004,UNION PLEASANT AVENUE ELEMENTARY SCHOOL,Union Pleasant Elem.,,
141701040000,HOLLAND CENTRAL SCHOOL DISTRICT,HOLLAND SCHOOL DISTRICT,,
141701040002,HAROLD O BRUMSTED ELEMENTARY SCHOOL,Brumsted Elementary,,
141701040001,HOLLAND JUNIOR/SENIOR HIGH SCHOOL,Holland Junior/Senior High,,
141301060000,IROQUOIS CENTRAL SCHOOL DISTRICT,IROQUOIS SCHOOL DISTRICT,,
141301060007,ELMA PRIMARY SCHOOL,Elma Primary,,
141301060002,IROQUOIS INTERMEDIATE SCHOOL,Iroquois Intermediate,,
141301060005,IROQUOIS MIDDLE SCHOOL,Iroquois Middle,,
141301060003,MARILLA PRIMARY SCHOOL,Marilla Primary,,
141301060004,WALES PRIMARY SCHOOL,Wales Primary,,
142601030000,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,KEN-TON SCHOOL DISTRICT,,
142601030023,BEN FRANKLIN ELEMENTARY SCHOOL,Franklin Elementary,,
142601030003,BEN FRANKLIN MIDDLE SCHOOL,Franklin Middle,,
142601030006,CHARLES A LINDBERGH ELEMENTARY SCHOOL,Lindbergh Elementary,,
142601860031,CHARTER SCHOOL FOR APPLIED TECHNOLOGIES,Charter Sch. for App. Tech.,x,
142601030024,HERBERT HOOVER ELEMENTARY SCHOOL,Hoover Elementary,,
142601030011,HERBERT HOOVER MIDDLE SCHOOL,Hoover Middle,,
142601030013,HOLMES ELEMENTARY SCHOOL,Holmes Elementary,,
142601030020,THOMAS A EDISON ELEMENTARY SCHOOL,Edison Elementary,,
141800010000,LACKAWANNA CITY SCHOOL DISTRICT,LACKAWANNA SCHOOL DISTRICT,,
141800860044,GLOBAL CONCEPTS CHARTER SCHOOL,Global Concepts,x,
141800010005,LACKAWANNA MIDDLE SCHOOL,Lackawanna Middle,,
141800010011,MARTIN ROAD ELEMENTARY SCHOOL,Martin Road Elementary,,
141901060000,LANCASTER CENTRAL SCHOOL DISTRICT,LANCASTER SCHOOL DISTRICT,,
141901060004,COMO PARK ELEMENTARY SCHOOL,Como Park Elementary,,
141901060005,COURT STREET ELEMENTARY SCHOOL,Court Street Elementary,,
141901060006,HILLVIEW ELEMENTARY SCHOOL,Hillview Elementary,,
141901060001,JOHN A SCIOLE ELEMENTARY SCHOOL,Sciole Elementary,,
141901060007,LANCASTER MIDDLE SCHOOL,Lancaster Middle,,
141901060010,WILLIAM STREET SCHOOL,William Street,,
142201040000,NORTH COLLINS CENTRAL SCHOOL DISTRICT,NORTH COLLINS SCHOOL DISTRICT,,
142201040002,NORTH COLLINS ELEMENTARY SCHOOL,North Collins Elementary,,
142201040001,NORTH COLLINS JUNIOR-SENIOR HIGH SCHOOL,North Collins Junior-Senior,,
142301060000,ORCHARD PARK CENTRAL SCHOOL DISTRICT,ORCHARD PARK SCHOOL DISTRICT,,
142301060003,EGGERT ROAD ELEMENTARY SCHOOL,Eggert Road Elementary,,
142301060007,ELLICOTT ROAD ELEMENTARY SCHOOL,Ellicott Road Elementary,,
142301060002,ORCHARD PARK MIDDLE SCHOOL,Orchard Park Middle,,
142301060005,SOUTH DAVIS ELEMENTARY SCHOOL,South Davis Elementary,,
142301060001,WINDOM ELEMENTARY SCHOOL,Windom Elementary,,
141101060000,SPRINGVILLE-GRIFFITH INSTITUTE CENTRAL SCHOOL DISTRICT,SPRINGVILLE-GRIFFITH SCH. DIST.,,
141101060002,COLDEN ELEMENTARY SCHOOL,Colden Elementary,,
141101060004,GRIFFITH INSTITUTE MIDDLE SCHOOL,Griffith Institute Middle,,
141101060003,SPRINGVILLE ELEMENTARY SCHOOL,Springville Elementary,,
140207060000,SWEET HOME CENTRAL SCHOOL DISTRICT,SWEET HOME SCHOOL DISTRICT,,
140207060002,GLENDALE ELEMENTARY SCHOOL,Glendale Elementary,,
140207060008,HERITAGE HEIGHTS ELEMENTARY SCHOOL,Heritage Heights Elem.,,
140207060003,MAPLEMERE ELEMENTARY SCHOOL,Maplemere Elementary,,
140207060005,SWEET HOME MIDDLE SCHOOL,Sweet Home Middle,,
140207060007,WILLOW RIDGE ELEMENTARY SCHOOL,Willow Ridge Elementary,,
142500010000,TONAWANDA CITY SCHOOL DISTRICT,TONAWANDA SCHOOL DISTRICT,,
142500010003,FLETCHER ELEMENTARY SCHOOL,Fletcher Elementary,,
142500010005,MULLEN ELEMENTARY SCHOOL,Mullen Elementary,,
142500010007,RIVERVIEW ELEMENTARY SCHOOL,Riverview Elementary,,
142500010009,TONAWANDA MIDDLE/HIGH SCHOOL,Tonawanda Middle/High,,
142801060000,WEST SENECA CENTRAL SCHOOL DISTRICT,WEST SENECA SCHOOL DISTRICT,,
142801060003,ALLENDALE ELEMENTARY SCHOOL,Allendale Elementary,,
142801060015,CLINTON ELEMENTARY SCHOOL,Clinton Elementary,,
142801060005,EAST MIDDLE SCHOOL,East Middle,,
142801060017,NORTHWOOD ELEMENTARY SCHOOL,Northwood Elementary,,
142801060018,WEST ELEMENTARY SCHOOL,West Elementary,,
142801060011,WEST MIDDLE SCHOOL,West Middle,,
142801060008,WINCHESTER ELEMENTARY SCHOOL,Winchester Elementary,,
140203060000,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,WILLIAMSVILLE SCHOOL DISTRICT,,
140203060012,CASEY MIDDLE SCHOOL,Casey Middle,,
140203060011,COUNTRY PARKWAY ELEMENTARY SCHOOL,Country Parkway Elem.,,
140203060002,DODGE ELEMENTARY SCHOOL,Dodge Elementary,,
140203060007,FOREST ELEMENTARY SCHOOL,Forest Elementary,,
140203060005,HEIM ELEMENTARY SCHOOL,Heim Elementary,,
140203060009,HEIM MIDDLE SCHOOL,Heim Middle,,
140203060003,MAPLE EAST ELEMENTARY SCHOOL,Maple East Elementary,,
140203060008,MAPLE WEST ELEMENTARY SCHOOL,Maple West Elementary,,
140203060001,MILL MIDDLE SCHOOL,Mill Middle,,
140203060015,TRANSIT MIDDLE SCHOOL,Transit Middle,,
401301040000,BARKER CENTRAL SCHOOL DISTRICT,BARKER SCHOOL DISTRICT,,
401301040003,BARKER JUNIOR/SENIOR HIGH SCHOOL,Barker Junior/Senior High,,
401301040002,PRATT ELEMENTARY SCHOOL,Pratt Elementary,,
400301060000,LEWISTON-PORTER CENTRAL SCHOOL DISTRICT,LEW-PORT SCHOOL DISTRICT,,
400301060003,INTERMEDIATE EDUCATION CENTER,Intermediate Educ. Center,,
400301060005,LEWISTON PORTER MIDDLE SCHOOL,Lewiston Porter Middle,,
400301060002,PRIMARY EDUCATION CENTER,Primary Education Center,,
400400010000,LOCKPORT CITY SCHOOL DISTRICT,LOCKPORT SCHOOL DISTRICT,,
400400010001,ANNA MERRITT ELEMENTARY SCHOOL,Merritt Elementary,,
400400010002,CHARLES A UPSON ELEMENTARY SCHOOL,Upson Elementary,,
400400010009,EMMET BELKNAP INTERMEDIATE SCHOOL,Belknap Intermediate,,
400400010005,GEORGE SOUTHARD ELEMENTARY SCHOOL,Southard Elementary,,
400400010010,NORTH PARK JUNIOR HIGH SCHOOL,North Park Junior High,,
400400010007,ROY KELLEY ELEMENTARY SCHOOL,Kelley Elementary,,
400601060000,NEWFANE CENTRAL SCHOOL DISTRICT,NEWFANE SCHOOL DISTRICT,,
400601060002,NEWFANE ELEMENTARY SCHOOL,Newfane Elementary,,
400601060008,NEWFANE MIDDLE SCHOOL,Newfane Middle,,
400800010000,NIAGARA FALLS CITY SCHOOL DISTRICT,NIAGARA FALLS SCHOOL DISTRICT,,
400800010042,CATARACT ELEMENTARY SCHOOL,Cataract Elementary,,
400800010040,GASKILL PREPARATORY SCHOOL,Gaskill Preparatory,,
